,,,,
郡望府 毛坯大三房  南北通透  采光无遮挡 诚售,89平米4/21层,德意空港国际萧山-空港新城 靖江路618号,整租朝南,280 元/月
德意空港国际2室-2厅-1卫整租,16平米2/17层,南欣公寓萧山-萧山市区 萧然西路491号,合租朝南2号线,530 元/月
永盛家园 户型2室1厅 面积12.96 精装修 交通便利,30平米19/20层,花城名苑(东区)萧山-新街 国槐路,合租朝南,600 元/月
租房优惠，南欣公寓，包物业，拎包入住，看房速联,14平米16/25层,明辉花园萧山-新街 建设四路2713号,合租朝南,610 元/月
萧山南欣公寓 公寓直租 临近地铁商超 出行方便 可月付,12平米3/16层,"潮上云临南苑萧山-空港新城 南阳大道,近南虹路",合租朝南,670 元/月
新街成熟小区，可接受月付，精装全配单间~非中阶,13平米17/27层,"绿城九龙仓桂语江南萧山-经开区 博奥路,近建设二路",整租朝南,700 元/月
南润名座 蛋壳公寓直租 临近地铁商场 优惠房源 可月付,17平米16/25层,回澜北苑萧山-萧山市区 文化路413-414号,合租朝南,740 元/月
明辉花园 蛋壳直租 房租月付 房价透明 临近地铁 看房电联,10平米2/12层,"新城香悦奥府萧山-经开区 博奥路,近建设一路",整租朝南,780 元/月
萧山 高桥 押一付一 可随时看房 价格面议,15平米21/28层,"郡望府萧山-新街 建设四路,近枫香路",整租朝南,800 元/月
空港新城 房东甩租 前自住房 新装修 照片实拍 看房速联,35平米25/25层,"得力名望府萧山-杭州南站 104国道辅路,近03省道",合租朝南,800 元/月
广盛公寓1室-0厅-1卫合租,15平米21/28层,广泽小区萧山-南部卧城 育才路,整租朝南2号线,830 元/月
经开区户型1室1厅 房主直租 精装修 老小区环境安静 价格,25平米16/25层,绿都世贸广场萧山-萧山市区 市心中路819号,合租朝南2号线,850 元/月
怡景公寓蛋壳直租  户型3室1厅朝向朝南 带阳台采光好,35平米11/23层,三江新村萧山-湘湖闻堰 三江路210号,整租朝南,880 元/月
回澜北苑 民用水电 房东自住 适合居家 照片实拍 担保真实,15平米15/30层,广泽小区萧山-南部卧城 育才路,合租朝东2号线,900 元/月
英冠水天城 房租可月付 包物业 有厨房 拎包即可入住 钱江世,20平米4/6层,新南郡嘉苑萧山-南部卧城 高桥路1398号,合租朝南2号线,900 元/月
新城香悦奥府，房租便宜，包WIFI，房租月付，房源有限,17平米16/26层,潘水苑(南区)萧山-萧山市区 潘水路,合租朝南2号线,920 元/月
义桥精装修单身公寓，800起，全新拎包住，可短租，有钥匙！,10平米12/22层,中南君奥时代萧山-新街 建设四路,合租朝南,940 元/月
龙达集团旁 押一付一 小区环境好 房间配置一应俱全 包水网,10平米17/28层,保利霞飞郡(别墅)萧山-经开区 建设二路401号,整租朝南,956 元/月
首月0租金！南润名座 山水苑 高第府 湘湖 朝晖初中,10平米16/36层,"姚江岸家园萧山-萧山市区 晨晖路,近育才路",合租朝南,980 元/月
得力名望府 新街 一室一厅 带阳台 朝南 通风 押一付一,16平米12/25层,尚海湾萧山-南部卧城 育才路,合租朝东2号线,990 元/月
萧山 蛋壳直租活动房源 管家管理 押一付一 看房电联,20平米9/13层,"顺发美哉美城萧山-钱江世纪城 民和路,近飞虹路",合租朝南2号线,1000 元/月
育才路与南三路 押一付一 精装特价房 出行便利 包水网 特惠,85平米16/27层,广泽小区萧山-南部卧城 育才路,合租朝南2号线,1000 元/月
三江花园(公寓)1室-1厅-1卫整租,30平米12/28层,新南郡嘉苑萧山-南部卧城 高桥路1398号,整租朝南2号线,1000 元/月
首月租房减1000 公寓直租 管家服务定期保洁 签单即减,15平米3/13层,"滨江东方海岸萧山-湘湖闻堰 时代大道,近湘湖路",合租朝南,1000 元/月
首月减600众安嘉润公馆采光良好   交通便利  精装修,11平米2/12层,金马同盛大厦萧山-杭州南站 萧绍路,整租朝南,1010 元/月
闻堰精装单身公寓 880起 多套可选 可短租哦 都有钥匙,12平米13/28层,金马名仕园萧山-杭州南站 通惠中路218号,整租朝南,1020 元/月
振宁路地铁站精装单间，可短租可月付，首租立减500！非中阶,18平米1/11层,"利二花苑萧山-钱江世纪城 奔竞大道,近金鸡路",合租朝南2号线,1030 元/月
首月减免 萧山电大 广泽小区 右岸澜庭 新南郡 拎包入住,10平米3/14层,朝阳8号(别墅)萧山-南部卧城 市心南路,整租朝南2号线,1040 元/月
首月减800 押一付一 2号线飞虹路 精装主卧 实拍图可做饭,9平米1/11层,德圣博奥城萧山-经开区 建设二路528号,合租朝南,1060 元/月
